State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,Case Rate per 100000 in Last 7 Days,Death Rate per 100K in Last 7 Days,GDP Per Capita,Smoking Rate
Alabama,244993,204110,40883,14285,7742,3572,3240,332,115,99,41.8,0.3,37508,19.1
Alaska,30204,null,null,4160,6426,120,null,null,19,29,80.6,0.4,63610,19.2
Arizona,322774,312865,9909,27440,7796,6624,6140,484,167,128,54.7,0.3,39583,14
Arkansas,155026,null,null,11205,7916,2449,null,null,112,127,53.1,0.5,36714,22.7
California,1183320,null,null,95606,6206,19089,null,null,446,68,34.5,0.2,60359,11.2
Colorado,225283,215193,10090,30604,6024,2983,2511,472,196,86,76.8,0.5,54026,14.5
Connecticut,112581,104793,7788,11112,5525,4961,3981,980,133,173,44.4,0.5,62633,12.2
Delaware,35251,33876,1375,3930,6275,770,677,93,24,97,58.1,0.4,63955,16.5
Florida,969813,null,null,51587,6368,18442,null,null,512,103,34.6,0.3,39842,14.5
Georgia,467564,418936,48628,20760,6651,9424,8775,649,245,104,28.2,0.3,45925,16.1
Hawaii,17573,null,null,654,1534,238,null,null,9,20,6.6,0.1,52869,13.4
Idaho,99660,84737,14923,8826,8105,913,843,70,66,82,71.9,0.5,36441,14.7
Illinois,712936,712936,0,66650,7826,12838,12137,701,886,146,74.7,1,55102,15.5
Indiana,329008,null,null,39825,7918,5663,5394,269,417,128,85,0.9,46427,21.1
Iowa,226258,null,null,18583,9106,2360,null,null,200,126,84.1,0.9,52284,16.6
Kansas,153021,132785,20236,18488,7940,1529,null,null,119,99,90.7,0.6,47435,17.2
Kentucky,174182,144349,29833,18274,6286,1885,1825,60,102,62,58.4,0.3,39277,23.4
Louisiana,230602,null,null,13893,7026,6391,6136,255,158,164,42.6,0.5,44372,20.5
Maine,11508,10315,1193,1148,2015,191,null,null,15,27,12.3,0.2,39521,17.8
Maryland,196447,null,null,14308,4845,4625,4470,155,191,101,33.8,0.5,56375,12.5
Massachusetts,224558,214662,9896,17333,5652,10649,10441,208,184,183,35.9,0.4,66500,13.4
Michigan,378152,350021,28131,49131,5474,9467,9036,431,592,136,70.3,0.9,44201,18.9
Minnesota,304023,null,null,41071,7541,3580,3453,127,323,97,104.6,0.8,54805,15.1
Mississippi,151785,121614,30171,8605,7669,3806,3313,493,130,168,41.2,0.6,32447,20.5
Missouri,292740,null,null,21213,6608,3817,null,null,258,94,49.5,0.6,43036,19.4
Montana,60845,60845,0,6303,7801,669,669,0,70,94,84.8,0.9,39833,18
Nebraska,125323,null,null,12294,8842,989,null,null,84,87,91,0.6,54654,16
Nevada,149229,null,null,17496,7644,2119,null,null,108,105,82.4,0.5,44812,15.7
New Hampshire,20002,null,null,2721,3530,523,null,null,15,58,28.7,0.2,52509,15.6
New Jersey,329553,null,null,27514,5625,16965,15136,1829,219,218,44.1,0.4,56776,13.1
New Mexico,93982,null,null,14542,7082,1527,null,null,177,123,99.1,1.2,41619,15.2
New York,327257,null,null,29269,5360,9911,null,null,259,119,37.5,0.3,65220,12.8
North Carolina,357958,337501,20457,25697,5486,5219,5068,151,214,66,35.4,0.3,44706,17.4
North Dakota,78658,null,null,5975,12313,920,null,null,80,175,112.3,1.5,64911,19.1
Ohio,406703,384544,22159,63417,6288,6378,5963,415,394,79,77.5,0.5,48188,20.5
Oklahoma,186136,156527,29609,3543,8025,1651,1590,61,0,66,12.8,0,44535,19.7
Oregon,72506,70786,1720,8838,2833,896,881,15,77,36,30.1,0.3,51312,15.6
Pennsylvania,351667,326741,24926,49103,5264,10275,null,null,474,129,54.8,0.5,51841,17
Rhode Island,53954,null,null,5953,8859,1346,null,null,52,176,80.4,0.7,48314,14.6
South Carolina,214911,201354,13557,9893,6372,4346,4043,303,72,106,27.8,0.2,37637,18
South Dakota,79099,null,null,6885,11425,942,811,131,165,171,111.5,2.7,48004,19
Tennessee,363466,334511,28955,27579,9044,4541,4163,378,330,106,58.2,0.7,44348,20.7
Texas,1151069,null,null,65545,6357,21309,null,null,842,97,32.6,0.4,53737,14.4
Utah,192087,192087,0,18108,9013,863,846,17,76,40,81.8,0.3,45493,9
Vermont,4033,null,null,487,1288,67,null,null,4,23,11.1,0.1,44831,13.7
Virginia,235943,209784,26159,18146,4420,4058,3719,339,120,61,30.4,0.2,52124,14.9
Washington,160634,null,null,19374,3398,2703,null,null,85,46,36.7,0.2,59333,12
West Virginia,45845,39514,6331,6247,5198,718,null,null,60,80,49.4,0.5,37353,25.2
Wisconsin,404999,380870,24129,32780,9135,3464,3285,179,321,92,80.6,0.8,48666,16.4
Wyoming,31928,27737,4191,4518,7874,215,215,0,39,80,111.7,1,61091,18.8
